date_time,bucket_87,bucket_88,bucket_89,bucket_90,bucket_91,bucket_92,bucket_93,bucket_94,Av_Solar_Radiation_wattpersquaremeter,Precipitation_mm,Air_Speed_meterpersecond ,Av_Air_Temperature_degreecelsius,Td = T - ((100 - RH)/5.),temp - dew point == dewpointdepression
7/18/19 0:00,0,0,0,0,0,0,0,0,2,0,1.38,13.2,,
7/18/19 1:00,0,0,0,0,0,0,0,0,1,0,0.91,13,,
7/18/19 2:00,0,0,0,0,0,0,0,0,1,0,1.67,13.1,,
7/18/19 3:00,0,0,0,0,0,0,0,0,1,0,2.27,12.8,,
7/18/19 4:00,0,0,0,0,0,0,0,0,1,0,1.77,12.7,,
7/18/19 5:00,0,0,0,0,0,0,0,0,12,0,1.11,12.8,,
7/18/19 6:00,0,0,0,0,0,0,0,0,49,0,1,13.2,,
7/18/19 7:00,0,0,0,0,0,0,0,0,108,0,0.35,13.6,,
7/18/19 8:00,0,0,0,0,0,0,0,0,247,0,1.46,15,,
7/18/19 9:00,0,0,0,0,0,0,0,0,506,0,2.93,16.5,,
7/18/19 10:00,0,0,0,0,0,0,0,0,814,0,4.06,17.5,,
7/18/19 11:00,0,0,0,0,0,0,0,0,914,0,5.35,17.8,,
7/18/19 12:00,0,0,0,0,0,0,0,0,931,0,5.89,17.6,,
7/18/19 13:00,0,0,0,0,0,0,0,0,905,0,5.93,18.1,,
7/18/19 14:00,0,0,0,0,0,0,0,0,828,0,5.9,18.4,,
7/18/19 15:00,0,0,0,0,0.01538462,0,0,0,673,0,6.32,18,,
7/18/19 16:00,0,0,0,0,0,0,0,0,379,0,5.78,16.8,,
7/18/19 17:00,0,0,0,0,0,0,0,0,181,0,4.88,16.7,,
7/18/19 18:00,0,0,0,0,0,0,0,0,49,0,4.4,15.7,,
7/18/19 19:00,0,0,0,0,0,0,0,0,5,0,3.44,14.9,,
7/18/19 20:00,0,0,0,0,0,0,0,0,1,0,2.92,14.5,,
7/18/19 21:00,0,0,0,0,0,0,0,0,1,0,2.56,14.4,,
7/18/19 22:00,0,0,0.00806452,0,0.00769231,0,0,0,1,0,2.84,14.1,,
7/18/19 23:00,0.008333333,0.008064516,0.00806452,0,0.03846154,0.00806452,0,0,1,0,2.44,14.1,,
7/19/19 0:00,0,0.008064516,0.00806452,0.0078125,0.00769231,0,0,0,1,0,2.05,13.9,,
7/19/19 1:00,0,0,0,0.0078125,0,0,0.007692308,0,1,0,1.75,13.7,,
7/19/19 2:00,0.008333333,0,0,0,0,0,0,0,1,0,1.54,13.6,,
7/19/19 3:00,0,0,0,0,0,0.00806452,0,0,1,0,1.52,13.5,,
7/19/19 4:00,0,0,0.00806452,0,0,0,0,0,1,0,1.55,13.5,,
7/19/19 5:00,0,0.008064516,0.00806452,0.0078125,0,0,0,0,7,0,1.07,13.5,,
7/19/19 6:00,0.008333333,0.008064516,0.00806452,0.0078125,0.00769231,0.00806452,0,0,43,0,1.65,13.8,,
7/19/19 7:00,0.008333333,0.008064516,0.00806452,0,0,0,0,0,93,0,2.1,14.4,,
7/19/19 8:00,0,0,0,0,0,0,0,0,160,0,2.9,15.2,,
7/19/19 9:00,0,0,0,0,0,0,0,0,275,0,3.79,16.1,,
7/19/19 10:00,0,0,0,0,0,0,0,0,435,0,4.36,17.3,,
7/19/19 11:00,0,0,0,0,0,0,0,0,651,0,4.79,18.6,,
7/19/19 12:00,0,0,0,0,0,0,0,0,693,0,5.76,19.2,,
7/19/19 13:00,0,0,0,0,0,0,0.007692308,0,679,0,5.64,19.3,,
7/19/19 14:00,0,0,0,0,0,0,0,0,775,0,5.69,19.9,,
7/19/19 15:00,0,0,0,0,0,0,0,0,692,0,5.86,19.7,,
7/19/19 16:00,0,0,0,0,0.00769231,0,0,0,522,0.254,5.06,19.4,,
7/19/19 17:00,0,0,0,0,0,0,0,0,321,0,4.58,18.4,,
7/19/19 18:00,0,0,0,0,0,0,0,0,80,0,3.71,16.1,,
7/19/19 19:00,0,0,0,0,0,0,0,0,7,0,3.02,15,,
7/19/19 20:00,0,0,0,0,0,0,0,0,1,0,2.52,15,,
